"word_1","word_2","contrast_word_1","contrast_word_2","match","type","speaker","speaker_1_word_1","speaker_1_word_2","speaker_2_word_1","speaker_2_word_2","sound1","sound2"
"tang_1","mang_1",NA,NA,0,"filler",0,"FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3","FV1_tang_1_.mp3","FV2_mang_1_.mp3"
"mang_1","tang_1",NA,NA,0,"filler",0,"FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3","FV1_mang_1_.mp3","FV2_tang_1_.mp3"
"tang_1","tang_1",NA,NA,1,"filler",0,"FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3","FV1_tang_1_.mp3","FV2_tang_1_.mp3"
"gei_3","gei_3",NA,NA,1,"filler",0,"FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3","FV1_gei_3_.mp3","FV2_gei_3_.mp3"
"hei_3","gei_3",NA,NA,0,"filler",0,"FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3","FV1_hei_3_.mp3","FV2_gei_3_.mp3"
"gei_3","hei_3",NA,NA,0,"filler",0,"FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3","FV1_gei_3_.mp3","FV2_hei_3_.mp3"
"hei_3","hei_3",NA,NA,1,"filler",0,"FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3","FV1_hei_3_.mp3","FV2_hei_3_.mp3"
"gai_3","gai_3",NA,NA,1,"filler",0,"FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3","FV1_gai_3_.mp3","FV2_gai_3_.mp3"
"hai_3","gai_3",NA,NA,0,"filler",0,"FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3","FV1_hai_3_.mp3","FV2_gai_3_.mp3"
"gai_3","hai_3",NA,NA,0,"filler",0,"FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3","FV1_gai_3_.mp3","FV2_hai_3_.mp3"
"hai_3","hai_3",NA,NA,1,"filler",0,"FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3","FV1_hai_3_.mp3","FV2_hai_3_.mp3"
